Round,CS_3_50.txt,BS_3_50.txt
1,0.4047,0.3832
2,0.5149,0.4803
3,0.5575,0.5
4,0.5927,0.5336
5,0.6138,0.5485
6,0.6368,0.5653
7,0.6502,0.5879
8,0.6609,0.594
9,0.6701,0.601
10,0.6768,0.6207
11,0.6842,0.6249
12,0.6898,0.6367
13,0.6931,0.6361
14,0.6976,0.6346
15,0.7018,0.6374
16,0.7033,0.6392
17,0.7058,0.6556
18,0.71,0.649
19,0.7139,0.6531
20,0.7126,0.6562
21,0.7167,0.6598
22,0.715,0.6619
23,0.7176,0.6694
24,0.714,0.6683
25,0.7181,0.6708
26,0.7216,0.6629
27,0.7222,0.6677
28,0.7192,0.6706
29,0.7195,0.674
30,0.7153,0.6679
31,0.7153,0.6694
32,0.7207,0.67
33,0.7144,0.672
34,0.7102,0.6747
35,0.7156,0.675
36,0.7112,0.6699
37,0.7144,0.6735
38,0.7126,0.6768
39,0.7089,0.6776
40,0.7089,0.6769
41,0.7057,0.6727
42,0.7075,0.6733
43,0.7101,0.6728
44,0.707,0.6779
45,0.7095,0.6749
46,0.7052,0.6681
47,0.7103,0.668
48,0.7059,0.6695
49,0.7052,0.6757
50,0.7064,0.6667
